Method,Test Runs,Original Image,Original Image Size (KB),Original Image Path,Compressed Image,Compressed Image Size (KB),Compressed Image Path,Compression Ratio,Build Tree Time (ms),Nearest Search Time (ms),CNN Inference Time (ms),Encoding Time (s),Decoding Time (s),PSNR (dB),SSIM,Blocks (blocks/s)
vp-tree,4,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,vp-tree_4_compressed_glioma_0132.jpg,9.34,data/compressed/multiTest\vp-tree_4_compressed_glioma_0132.jpg,1:5,14.2247,0.0421,66.0852,0.1298,0.0439,21.2172,0.6534,22264.7417
vp-tree,4,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,vp-tree_4_compressed_glioma_0990.jpg,9.03,data/compressed/multiTest\vp-tree_4_compressed_glioma_0990.jpg,1:5,13.7706,0.0414,61.532,0.1221,0.0366,22.3686,0.6881,22458.0611
vp-tree,4,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,vp-tree_4_compressed_glioma_0322.jpg,8.89,data/compressed/multiTest\vp-tree_4_compressed_glioma_0322.jpg,1:5,15.4856,0.0405,154.5542,0.2067,0.0318,21.8444,0.6735,23281.8813
vp-tree,4,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,vp-tree_4_compressed_glioma_0296.jpg,8.42,data/compressed/multiTest\vp-tree_4_compressed_glioma_0296.jpg,1:6,17.0501,0.0586,61.1881,0.1523,0.0546,24.2506,0.6994,15987.0355
vp-tree,4,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,vp-tree_4_compressed_glioma_0102.jpg,8.65,data/compressed/multiTest\vp-tree_4_compressed_glioma_0102.jpg,1:5,15.2816,0.051,63.4945,0.1406,0.0349,22.952,0.6706,18536.9227
vp-tree,4,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,vp-tree_4_compressed_glioma_0840.jpg,5.58,data/compressed/multiTest\vp-tree_4_compressed_glioma_0840.jpg,1:6,20.0878,0.281,62.3079,0.383,0.0339,24.3291,0.8066,3496.0726
vp-tree,4,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,vp-tree_4_compressed_glioma_0557.jpg,6.15,data/compressed/multiTest\vp-tree_4_compressed_glioma_0557.jpg,1:5,18.3442,0.1563,62.5882,0.2533,0.0315,22.9077,0.7882,6226.3282
vp-tree,4,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,vp-tree_4_compressed_glioma_0386.jpg,5.94,data/compressed/multiTest\vp-tree_4_compressed_glioma_0386.jpg,1:5,18.0063,0.1508,64.4603,0.2333,0.0478,25.7869,0.7844,6425.9528
vp-tree,4,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,vp-tree_4_compressed_glioma_0769.jpg,6.05,data/compressed/multiTest\vp-tree_4_compressed_glioma_0769.jpg,1:5,15.2261,0.1661,62.3346,0.2393,0.0477,24.5968,0.7933,5871.4081
vp-tree,4,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,vp-tree_4_compressed_glioma_0159.jpg,5.9,data/compressed/multiTest\vp-tree_4_compressed_glioma_0159.jpg,1:5,16.0367,0.1592,63.275,0.2521,0.0479,25.6165,0.7905,6100.4416
vp-tree,4,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,vp-tree_4_compressed_glioma_0934.jpg,3.5,data/compressed/multiTest\vp-tree_4_compressed_glioma_0934.jpg,1:5,19.0993,0.2484,63.9311,0.3493,0.0316,28.0745,0.887,3938.9069
vp-tree,4,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,vp-tree_4_compressed_glioma_0171.jpg,3.63,data/compressed/multiTest\vp-tree_4_compressed_glioma_0171.jpg,1:5,21.7801,0.2795,60.3037,0.3732,0.0476,26.8704,0.8955,3514.0495
vp-tree,4,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,vp-tree_4_compressed_glioma_0111.jpg,3.59,data/compressed/multiTest\vp-tree_4_compressed_glioma_0111.jpg,1:5,20.0432,0.2336,64.0037,0.3273,0.0553,30.5556,0.8897,4185.91
vp-tree,4,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,vp-tree_4_compressed_glioma_0918.jpg,3.76,data/compressed/multiTest\vp-tree_4_compressed_glioma_0918.jpg,1:5,30.4905,0.3089,67.1716,0.4107,0.0637,27.3207,0.8771,3178.7471
vp-tree,4,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,vp-tree_4_compressed_glioma_0558.jpg,3.59,data/compressed/multiTest\vp-tree_4_compressed_glioma_0558.jpg,1:5,14.7077,0.3591,63.753,0.4437,0.0473,26.6769,0.8939,2730.6441
vp-tree,4,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,vp-tree_4_compressed_pituitary_0048.jpg,11.11,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0048.jpg,1:29,23.066,0.047,60.3078,0.1436,0.0492,20.2551,0.5953,19807.3043
vp-tree,4,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,vp-tree_4_compressed_pituitary_0681.jpg,11.07,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0681.jpg,1:24,14.7654,0.0499,59.7751,0.1289,0.0476,21.0836,0.585,19052.6516
vp-tree,4,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,vp-tree_4_compressed_pituitary_0287.jpg,7.75,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0287.jpg,1:30,23.1306,0.0589,62.7331,0.158,0.0317,22.0028,0.727,16023.5095
vp-tree,4,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,vp-tree_4_compressed_pituitary_0798.jpg,8.45,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0798.jpg,1:17,20.9973,0.065,62.9164,0.1593,0.048,22.8056,0.6881,14395.1844
vp-tree,4,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,vp-tree_4_compressed_pituitary_0598.jpg,9.62,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0598.jpg,1:12,16.8727,0.049,65.4388,0.1422,0.0319,22.3883,0.677,19350.2547
vp-tree,4,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,vp-tree_4_compressed_pituitary_0274.jpg,8.14,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0274.jpg,1:6,14.1453,0.057,59.9097,0.1268,0.048,22.2556,0.7443,16810.8614
vp-tree,4,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,vp-tree_4_compressed_pituitary_0873.jpg,8.33,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0873.jpg,1:5,26.1281,0.0544,61.7968,0.1431,0.0475,21.6697,0.7231,17298.2908
vp-tree,4,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,vp-tree_4_compressed_pituitary_0971.jpg,8.3,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0971.jpg,1:5,21.187,0.0527,63.6008,0.1335,0.048,22.7463,0.714,17765.7181
vp-tree,4,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,vp-tree_4_compressed_pituitary_0816.jpg,8.38,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0816.jpg,1:5,30.2729,0.0584,66.4459,0.173,0.0468,23.1441,0.7097,16131.7256
vp-tree,4,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,vp-tree_4_compressed_pituitary_0217.jpg,8.31,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0217.jpg,1:5,14.4749,0.0557,62.4134,0.1272,0.0554,22.8637,0.6938,17090.6791
vp-tree,4,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,vp-tree_4_compressed_pituitary_0106.jpg,9.66,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0106.jpg,1:2,17.5181,0.0495,61.6495,0.1252,0.0477,23.7216,0.6213,19166.8055
vp-tree,4,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,vp-tree_4_compressed_pituitary_0249.jpg,10.11,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0249.jpg,1:2,28.5363,0.0727,63.8643,0.1741,0.0471,22.7977,0.5968,13148.0114
vp-tree,4,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,vp-tree_4_compressed_pituitary_0498.jpg,10.14,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0498.jpg,1:2,15.6806,0.0702,62.6345,0.1582,0.0516,22.9697,0.6022,13690.7364
vp-tree,4,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,vp-tree_4_compressed_pituitary_0218.jpg,10.1,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0218.jpg,1:2,17.3654,0.0603,63.0851,0.1588,0.0479,22.9921,0.5969,15705.7383
vp-tree,4,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,vp-tree_4_compressed_pituitary_0499.jpg,10.19,data/compressed/multiTest\vp-tree_4_compressed_pituitary_0499.jpg,1:2,27.1457,0.0764,61.1275,0.1854,0.0738,22.6784,0.5839,12368.9424
vp-tree,5,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,vp-tree_5_compressed_glioma_0132.jpg,9.42,data/compressed/multiTest\vp-tree_5_compressed_glioma_0132.jpg,1:5,14.8244,0.0489,70.9371,0.1337,0.0472,21.1744,0.6479,18760.4543
vp-tree,5,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,vp-tree_5_compressed_glioma_0990.jpg,8.87,data/compressed/multiTest\vp-tree_5_compressed_glioma_0990.jpg,1:6,18.9915,0.0458,61.6977,0.137,0.0376,22.1849,0.6792,20728.9128
vp-tree,5,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,vp-tree_5_compressed_glioma_0322.jpg,8.87,data/compressed/multiTest\vp-tree_5_compressed_glioma_0322.jpg,1:5,21.7645,0.0534,61.3788,0.1443,0.032,21.8937,0.675,17713.1065
vp-tree,5,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,vp-tree_5_compressed_glioma_0296.jpg,8.43,data/compressed/multiTest\vp-tree_5_compressed_glioma_0296.jpg,1:6,14.325,0.0489,63.6966,0.1433,0.032,24.2334,0.7002,19259.1255
vp-tree,5,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,vp-tree_5_compressed_glioma_0102.jpg,8.61,data/compressed/multiTest\vp-tree_5_compressed_glioma_0102.jpg,1:5,15.9573,0.0553,61.076,0.1445,0.0319,22.8107,0.6693,17212.6298
vp-tree,5,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,vp-tree_5_compressed_glioma_0840.jpg,5.6,data/compressed/multiTest\vp-tree_5_compressed_glioma_0840.jpg,1:6,20.5083,0.2834,62.227,0.3781,0.0298,24.6205,0.8153,3465.3939
vp-tree,5,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,vp-tree_5_compressed_glioma_0557.jpg,6.17,data/compressed/multiTest\vp-tree_5_compressed_glioma_0557.jpg,1:5,18.4854,0.1916,60.7414,0.2865,0.0317,23.1226,0.7969,5119.3063
vp-tree,5,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,vp-tree_5_compressed_glioma_0386.jpg,5.9,data/compressed/multiTest\vp-tree_5_compressed_glioma_0386.jpg,1:5,16.5758,0.1406,61.0137,0.2229,0.0477,26.0256,0.7921,6951.4545
vp-tree,5,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,vp-tree_5_compressed_glioma_0769.jpg,6.09,data/compressed/multiTest\vp-tree_5_compressed_glioma_0769.jpg,1:5,18.5292,0.1718,67.3124,0.2736,0.0435,24.3801,0.7882,5682.9281
vp-tree,5,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,vp-tree_5_compressed_glioma_0159.jpg,5.95,data/compressed/multiTest\vp-tree_5_compressed_glioma_0159.jpg,1:5,14.5738,0.1352,60.2345,0.2233,0.0318,25.4035,0.7854,7241.9336
vp-tree,5,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,vp-tree_5_compressed_glioma_0934.jpg,3.58,data/compressed/multiTest\vp-tree_5_compressed_glioma_0934.jpg,1:5,14.387,0.2654,60.6841,0.3536,0.0432,28.033,0.8915,3702.6979
vp-tree,5,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,vp-tree_5_compressed_glioma_0171.jpg,3.64,data/compressed/multiTest\vp-tree_5_compressed_glioma_0171.jpg,1:5,14.0112,0.2746,60.5656,0.349,0.0477,28.0181,0.9089,3583.2172
vp-tree,5,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,vp-tree_5_compressed_glioma_0111.jpg,3.6,data/compressed/multiTest\vp-tree_5_compressed_glioma_0111.jpg,1:5,15.3005,0.1861,69.4548,0.2867,0.0317,30.5522,0.8919,5278.3532
vp-tree,5,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,vp-tree_5_compressed_glioma_0918.jpg,3.74,data/compressed/multiTest\vp-tree_5_compressed_glioma_0918.jpg,1:5,29.8702,0.3421,69.075,0.4586,0.0354,27.4328,0.8797,2872.4484
vp-tree,5,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,vp-tree_5_compressed_glioma_0558.jpg,3.65,data/compressed/multiTest\vp-tree_5_compressed_glioma_0558.jpg,1:5,14.7427,0.2651,61.7603,0.3622,0.0371,26.566,0.8907,3698.4546
vp-tree,5,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,vp-tree_5_compressed_pituitary_0048.jpg,11.12,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0048.jpg,1:29,13.6799,0.0429,60.4594,0.1284,0.0494,20.4051,0.6102,22069.5363
vp-tree,5,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,vp-tree_5_compressed_pituitary_0681.jpg,11.09,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0681.jpg,1:24,14.1053,0.044,59.7352,0.1232,0.0268,21.2236,0.597,21639.2126
vp-tree,5,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,vp-tree_5_compressed_pituitary_0287.jpg,7.69,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0287.jpg,1:30,13.3615,0.0426,60.6894,0.1092,0.0483,21.9564,0.7281,21615.597
vp-tree,5,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,vp-tree_5_compressed_pituitary_0798.jpg,8.47,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0798.jpg,1:17,13.9445,0.0409,61.4931,0.1159,0.0422,22.8668,0.6812,22850.6651
vp-tree,5,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,vp-tree_5_compressed_pituitary_0598.jpg,9.68,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0598.jpg,1:12,14.1666,0.0444,61.6841,0.1244,0.0275,22.2301,0.6773,21441.9727
vp-tree,5,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,vp-tree_5_compressed_pituitary_0274.jpg,8.15,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0274.jpg,1:6,13.7557,0.0395,60.7746,0.1158,0.039,22.3158,0.7485,23836.0157
vp-tree,5,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,vp-tree_5_compressed_pituitary_0873.jpg,8.41,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0873.jpg,1:5,14.6539,0.0377,61.4618,0.1263,0.0333,21.6869,0.7282,24611.0067
vp-tree,5,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,vp-tree_5_compressed_pituitary_0971.jpg,8.34,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0971.jpg,1:5,14.8572,0.0423,61.5681,0.1214,0.0277,22.5886,0.7084,22425.4038
vp-tree,5,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,vp-tree_5_compressed_pituitary_0816.jpg,8.39,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0816.jpg,1:5,13.9253,0.0414,61.9882,0.1134,0.0382,23.0578,0.7067,22659.7802
vp-tree,5,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,vp-tree_5_compressed_pituitary_0217.jpg,8.31,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0217.jpg,1:5,13.9763,0.0403,61.4106,0.1137,0.0292,23.0549,0.6958,23221.271
vp-tree,5,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,vp-tree_5_compressed_pituitary_0106.jpg,9.72,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0106.jpg,1:2,14.7505,0.0398,61.8687,0.1209,0.0278,23.4932,0.6169,23387.1649
vp-tree,5,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,vp-tree_5_compressed_pituitary_0249.jpg,9.97,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0249.jpg,1:2,15.3024,0.0443,61.5949,0.123,0.0384,22.8351,0.591,21327.0685
vp-tree,5,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,vp-tree_5_compressed_pituitary_0498.jpg,10.15,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0498.jpg,1:2,13.7964,0.0411,61.2461,0.1121,0.0359,22.9039,0.602,22992.0157
vp-tree,5,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,vp-tree_5_compressed_pituitary_0218.jpg,10.1,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0218.jpg,1:2,14.6943,0.0722,60.9124,0.1596,0.0534,23.0536,0.5967,12837.5981
vp-tree,5,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,vp-tree_5_compressed_pituitary_0499.jpg,10.2,data/compressed/multiTest\vp-tree_5_compressed_pituitary_0499.jpg,1:2,13.6908,0.0438,61.0899,0.1183,0.0413,22.484,0.5796,21469.5757
proposed,1,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,proposed_1_compressed_glioma_0132.jpg,9.64,data/compressed/multiTest\proposed_1_compressed_glioma_0132.jpg,1:5,5.7004,0.6989,149.7891,0.8842,0.0624,23.0564,0.7623,1407.3727
proposed,1,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,proposed_1_compressed_glioma_0990.jpg,9.3,data/compressed/multiTest\proposed_1_compressed_glioma_0990.jpg,1:5,6.0816,0.7239,44.78,0.8069,0.0425,23.5434,0.774,1360.3266
proposed,1,glioma_0322.jpg,52.54,data/dataset/glioma\glioma_0322.jpg,proposed_1_compressed_glioma_0322.jpg,9.14,data/compressed/multiTest\proposed_1_compressed_glioma_0322.jpg,1:5,5.8054,0.6767,18.1229,0.7292,0.0422,23.6845,0.7848,1452.4957
proposed,1,glioma_0296.jpg,52.2,data/dataset/glioma\glioma_0296.jpg,proposed_1_compressed_glioma_0296.jpg,8.55,data/compressed/multiTest\proposed_1_compressed_glioma_0296.jpg,1:6,6.3769,0.6767,18.5713,0.7367,0.0334,26.6525,0.8117,1455.9729
proposed,1,glioma_0102.jpg,50.99,data/dataset/glioma\glioma_0102.jpg,proposed_1_compressed_glioma_0102.jpg,8.86,data/compressed/multiTest\proposed_1_compressed_glioma_0102.jpg,1:5,6.6601,0.8089,18.6412,0.878,0.0387,24.6696,0.7722,1213.7841
proposed,1,glioma_0840.jpg,34.0,data/dataset/glioma\glioma_0840.jpg,proposed_1_compressed_glioma_0840.jpg,5.81,data/compressed/multiTest\proposed_1_compressed_glioma_0840.jpg,1:5,6.1042,0.436,17.2609,0.4794,0.0371,26.5523,0.8803,2255.2319
proposed,1,glioma_0557.jpg,34.01,data/dataset/glioma\glioma_0557.jpg,proposed_1_compressed_glioma_0557.jpg,6.29,data/compressed/multiTest\proposed_1_compressed_glioma_0557.jpg,1:5,5.8938,0.5633,16.977,0.61,0.0479,25.044,0.8653,1746.5387
proposed,1,glioma_0386.jpg,34.02,data/dataset/glioma\glioma_0386.jpg,proposed_1_compressed_glioma_0386.jpg,6.06,data/compressed/multiTest\proposed_1_compressed_glioma_0386.jpg,1:5,7.5178,0.5635,26.4768,0.6232,0.0349,28.2083,0.8658,1745.7413
proposed,1,glioma_0769.jpg,34.04,data/dataset/glioma\glioma_0769.jpg,proposed_1_compressed_glioma_0769.jpg,6.25,data/compressed/multiTest\proposed_1_compressed_glioma_0769.jpg,1:5,6.0396,0.5031,18.0446,0.5485,0.036,26.1737,0.8608,1959.106
proposed,1,glioma_0159.jpg,34.04,data/dataset/glioma\glioma_0159.jpg,proposed_1_compressed_glioma_0159.jpg,6.13,data/compressed/multiTest\proposed_1_compressed_glioma_0159.jpg,1:5,7.9493,0.5773,22.3732,0.632,0.0597,27.4012,0.8677,1704.5249
proposed,1,glioma_0934.jpg,19.43,data/dataset/glioma\glioma_0934.jpg,proposed_1_compressed_glioma_0934.jpg,3.59,data/compressed/multiTest\proposed_1_compressed_glioma_0934.jpg,1:5,6.1007,0.4219,23.7413,0.4708,0.0301,30.7906,0.9321,2332.0981
proposed,1,glioma_0171.jpg,19.81,data/dataset/glioma\glioma_0171.jpg,proposed_1_compressed_glioma_0171.jpg,3.68,data/compressed/multiTest\proposed_1_compressed_glioma_0171.jpg,1:5,6.5734,0.4024,16.2381,0.4373,0.0417,30.8056,0.9444,2445.3416
proposed,1,glioma_0111.jpg,19.91,data/dataset/glioma\glioma_0111.jpg,proposed_1_compressed_glioma_0111.jpg,3.71,data/compressed/multiTest\proposed_1_compressed_glioma_0111.jpg,1:5,6.8539,0.5107,15.9845,0.555,0.0407,32.8328,0.9333,1930.7556
proposed,1,glioma_0918.jpg,19.93,data/dataset/glioma\glioma_0918.jpg,proposed_1_compressed_glioma_0918.jpg,3.83,data/compressed/multiTest\proposed_1_compressed_glioma_0918.jpg,1:5,6.2939,0.398,17.382,0.4369,0.036,30.1536,0.9273,2479.183
proposed,1,glioma_0558.jpg,20.02,data/dataset/glioma\glioma_0558.jpg,proposed_1_compressed_glioma_0558.jpg,3.78,data/compressed/multiTest\proposed_1_compressed_glioma_0558.jpg,1:5,6.233,0.4226,17.6822,0.4636,0.0357,29.1673,0.9338,2332.4141
proposed,1,pituitary_0048.jpg,328.59,data/dataset/pituitary\pituitary_0048.jpg,proposed_1_compressed_pituitary_0048.jpg,11.33,data/compressed/multiTest\proposed_1_compressed_pituitary_0048.jpg,1:29,5.1564,0.7471,15.5973,0.8015,0.0326,22.0562,0.7293,1318.607
proposed,1,pituitary_0681.jpg,266.28,data/dataset/pituitary\pituitary_0681.jpg,proposed_1_compressed_pituitary_0681.jpg,11.32,data/compressed/multiTest\proposed_1_compressed_pituitary_0681.jpg,1:23,5.2514,0.7518,58.9402,0.8486,0.03,22.6735,0.719,1311.2673
proposed,1,pituitary_0287.jpg,236.31,data/dataset/pituitary\pituitary_0287.jpg,proposed_1_compressed_pituitary_0287.jpg,7.96,data/compressed/multiTest\proposed_1_compressed_pituitary_0287.jpg,1:29,31.3665,0.7347,63.3581,0.8679,0.028,23.3067,0.8145,1328.9485
proposed,1,pituitary_0798.jpg,147.91,data/dataset/pituitary\pituitary_0798.jpg,proposed_1_compressed_pituitary_0798.jpg,8.68,data/compressed/multiTest\proposed_1_compressed_pituitary_0798.jpg,1:17,6.2765,0.7165,62.2106,0.8132,0.0355,24.2288,0.7889,1373.2202
proposed,1,pituitary_0598.jpg,124.3,data/dataset/pituitary\pituitary_0598.jpg,proposed_1_compressed_pituitary_0598.jpg,9.85,data/compressed/multiTest\proposed_1_compressed_pituitary_0598.jpg,1:12,6.4313,0.7557,61.8908,0.8656,0.0334,24.4496,0.8051,1305.6105
proposed,1,pituitary_0274.jpg,48.93,data/dataset/pituitary\pituitary_0274.jpg,proposed_1_compressed_pituitary_0274.jpg,8.22,data/compressed/multiTest\proposed_1_compressed_pituitary_0274.jpg,1:5,7.1412,0.6967,62.7164,0.7898,0.034,24.3755,0.824,1417.0961
proposed,1,pituitary_0873.jpg,48.93,data/dataset/pituitary\pituitary_0873.jpg,proposed_1_compressed_pituitary_0873.jpg,8.67,data/compressed/multiTest\proposed_1_compressed_pituitary_0873.jpg,1:5,5.9433,0.6238,62.5534,0.7188,0.0321,23.3793,0.8109,1583.8485
proposed,1,pituitary_0971.jpg,48.95,data/dataset/pituitary\pituitary_0971.jpg,proposed_1_compressed_pituitary_0971.jpg,8.41,data/compressed/multiTest\proposed_1_compressed_pituitary_0971.jpg,1:5,6.7664,0.6902,61.7524,0.7846,0.0488,24.5391,0.8008,1430.0502
proposed,1,pituitary_0816.jpg,48.95,data/dataset/pituitary\pituitary_0816.jpg,proposed_1_compressed_pituitary_0816.jpg,8.73,data/compressed/multiTest\proposed_1_compressed_pituitary_0816.jpg,1:5,5.9595,0.7185,63.7499,0.8037,0.0458,24.8807,0.8196,1371.5114
proposed,1,pituitary_0217.jpg,48.97,data/dataset/pituitary\pituitary_0217.jpg,proposed_1_compressed_pituitary_0217.jpg,8.58,data/compressed/multiTest\proposed_1_compressed_pituitary_0217.jpg,1:5,5.7933,0.6541,63.5396,0.748,0.0378,24.797,0.7965,1510.8473
proposed,1,pituitary_0106.jpg,20.61,data/dataset/pituitary\pituitary_0106.jpg,proposed_1_compressed_pituitary_0106.jpg,9.92,data/compressed/multiTest\proposed_1_compressed_pituitary_0106.jpg,1:2,7.8992,0.7515,60.5741,0.8533,0.0394,25.1625,0.7151,1309.9355
proposed,1,pituitary_0249.jpg,20.92,data/dataset/pituitary\pituitary_0249.jpg,proposed_1_compressed_pituitary_0249.jpg,10.2,data/compressed/multiTest\proposed_1_compressed_pituitary_0249.jpg,1:2,7.0745,0.7404,61.9392,0.8451,0.0311,24.2659,0.687,1330.7853
proposed,1,pituitary_0498.jpg,20.98,data/dataset/pituitary\pituitary_0498.jpg,proposed_1_compressed_pituitary_0498.jpg,10.35,data/compressed/multiTest\proposed_1_compressed_pituitary_0498.jpg,1:2,6.3259,0.7334,61.4019,0.8484,0.0444,24.3704,0.7008,1341.4495
proposed,1,pituitary_0218.jpg,21.46,data/dataset/pituitary\pituitary_0218.jpg,proposed_1_compressed_pituitary_0218.jpg,10.33,data/compressed/multiTest\proposed_1_compressed_pituitary_0218.jpg,1:2,6.1094,0.7746,63.5515,0.8745,0.0445,24.4273,0.6904,1274.8334
proposed,1,pituitary_0499.jpg,21.79,data/dataset/pituitary\pituitary_0499.jpg,proposed_1_compressed_pituitary_0499.jpg,10.5,data/compressed/multiTest\proposed_1_compressed_pituitary_0499.jpg,1:2,7.8323,0.7406,64.1905,0.8385,0.0373,24.1036,0.6817,1333.7585
proposed,2,glioma_0132.jpg,53.32,data/dataset/glioma\glioma_0132.jpg,proposed_2_compressed_glioma_0132.jpg,9.64,data/compressed/multiTest\proposed_2_compressed_glioma_0132.jpg,1:5,5.9725,0.741,66.5131,0.831,0.0416,23.0564,0.7623,1333.254
proposed,2,glioma_0990.jpg,53.23,data/dataset/glioma\glioma_0990.jpg,proposed_2_compressed_glioma_0990.jpg,9.3,data/compressed/multiTest\proposed_2_compressed_glioma_0990.jpg,1:5,5.9211,0.7449,62.393,0.8501,0.0401,23.5434,0.774,1326.1945
